INFO:root:Epoch: 019 |Batch: 000 | loss: 0.466685 | reconstruction_loss: 0.410320 | z_kl_loss: 0.056364 | accu: 0.943516 Binary_Cross_Entropy:0.4103204607963562.   KL-D:0.05636434629559517.
INFO:root:Epoch: 020 |Batch: 000 | loss: 0.452131 | reconstruction_loss: 0.403472 | z_kl_loss: 0.048659 | accu: 0.943611 Binary_Cross_Entropy:0.4034721255302429.   KL-D:0.04865865036845207.
INFO:root:Epoch: 021 |Batch: 000 | loss: 0.439298 | reconstruction_loss: 0.397940 | z_kl_loss: 0.041358 | accu: 0.943672 Binary_Cross_Entropy:0.3979395627975464.   KL-D:0.041358012706041336.
INFO:root:Epoch: 022 |Batch: 000 | loss: 0.446548 | reconstruction_loss: 0.411279 | z_kl_loss: 0.035269 | accu: 0.943703 Binary_Cross_Entropy:0.41127926111221313.   KL-D:0.035269077867269516.
INFO:root:Epoch: 023 |Batch: 000 | loss: 0.431048 | reconstruction_loss: 0.385969 | z_kl_loss: 0.045079 | accu: 0.943663 Binary_Cross_Entropy:0.38596877455711365.   KL-D:0.04507932439446449.
INFO:root:Epoch: 024 |Batch: 000 | loss: 0.444953 | reconstruction_loss: 0.381629 | z_kl_loss: 0.063324 | accu: 0.943640 Binary_Cross_Entropy:0.3816292881965637.   KL-D:0.0633237361907959.
INFO:root:Epoch: 025 |Batch: 000 | loss: 0.459334 | reconstruction_loss: 0.378181 | z_kl_loss: 0.081153 | accu: 0.943658 Binary_Cross_Entropy:0.37818121910095215.   KL-D:0.08115285634994507.
INFO:root:Epoch: 026 |Batch: 000 | loss: 0.467419 | reconstruction_loss: 0.375015 | z_kl_loss: 0.092403 | accu: 0.943582 Binary_Cross_Entropy:0.3750154376029968.   KL-D:0.09240331500768661.
INFO:root:Epoch: 027 |Batch: 000 | loss: 0.467281 | reconstruction_loss: 0.372346 | z_kl_loss: 0.094935 | accu: 0.943497 Binary_Cross_Entropy:0.372346431016922.   KL-D:0.09493470937013626.
INFO:root:Epoch: 028 |Batch: 000 | loss: 0.460065 | reconstruction_loss: 0.370164 | z_kl_loss: 0.089901 | accu: 0.943400 Binary_Cross_Entropy:0.37016403675079346.   KL-D:0.08990108221769333.
INFO:root:Epoch: 029 |Batch: 000 | loss: 0.447926 | reconstruction_loss: 0.367890 | z_kl_loss: 0.080036 | accu: 0.943298 Binary_Cross_Entropy:0.36789005994796753.   KL-D:0.0800357535481453.
INFO:root:Epoch: 030 |Batch: 000 | loss: 0.434006 | reconstruction_loss: 0.365828 | z_kl_loss: 0.068178 | accu: 0.943276 Binary_Cross_Entropy:0.3658280670642853.   KL-D:0.06817817687988281.
INFO:root:Epoch: 031 |Batch: 000 | loss: 0.420575 | reconstruction_loss: 0.364076 | z_kl_loss: 0.056499 | accu: 0.943280 Binary_Cross_Entropy:0.36407607793807983.   KL-D:0.05649891495704651.
INFO:root:Epoch: 032 |Batch: 000 | loss: 0.409150 | reconstruction_loss: 0.362865 | z_kl_loss: 0.046286 | accu: 0.943197 Binary_Cross_Entropy:0.3628646433353424.   KL-D:0.046285565942525864.
INFO:root:Epoch: 033 |Batch: 000 | loss: 0.399448 | reconstruction_loss: 0.361363 | z_kl_loss: 0.038085 | accu: 0.943196 Binary_Cross_Entropy:0.3613632917404175.   KL-D:0.03808462247252464.
INFO:root:Epoch: 034 |Batch: 000 | loss: 0.392582 | reconstruction_loss: 0.360681 | z_kl_loss: 0.031901 | accu: 0.943243 Binary_Cross_Entropy:0.36068135499954224.   KL-D:0.03190109506249428.
INFO:root:Epoch: 035 |Batch: 000 | loss: 0.466406 | reconstruction_loss: 0.438699 | z_kl_loss: 0.027707 | accu: 0.932369 Binary_Cross_Entropy:0.43869882822036743.   KL-D:0.027707237750291824.
INFO:root:Epoch: 036 |Batch: 000 | loss: 0.405079 | reconstruction_loss: 0.358484 | z_kl_loss: 0.046595 | accu: 0.943159 Binary_Cross_Entropy:0.35848402976989746.   KL-D:0.04659498855471611.
INFO:root:Epoch: 037 |Batch: 000 | loss: 0.445999 | reconstruction_loss: 0.357743 | z_kl_loss: 0.088256 | accu: 0.943173 Binary_Cross_Entropy:0.35774296522140503.   KL-D:0.08825594931840897.
INFO:root:Epoch: 038 |Batch: 000 | loss: 0.497357 | reconstruction_loss: 0.357085 | z_kl_loss: 0.140272 | accu: 0.943101 Binary_Cross_Entropy:0.3570849597454071.   KL-D:0.14027202129364014.
INFO:root:Epoch: 039 |Batch: 000 | loss: 0.547742 | reconstruction_loss: 0.356649 | z_kl_loss: 0.191093 | accu: 0.943132 Binary_Cross_Entropy:0.356648713350296.   KL-D:0.191093310713768.
INFO:root:Epoch: 040 |Batch: 000 | loss: 0.587638 | reconstruction_loss: 0.356024 | z_kl_loss: 0.231613 | accu: 0.943120 Binary_Cross_Entropy:0.35602447390556335.   KL-D:0.23161347210407257.
INFO:root:Epoch: 041 |Batch: 000 | loss: 0.612344 | reconstruction_loss: 0.355718 | z_kl_loss: 0.256626 | accu: 0.943210 Binary_Cross_Entropy:0.3557180166244507.   KL-D:0.2566259503364563.
